duration,file_size,durationSecs,rscore,adult,bulk,impostor,lowpriority,malware,mlx,mlxlog,phish,sn,spam,suspect,unknownsender,engine,overall,msgSizeBytes,detectedSizeBytes,sizeDecodedBytes,structureId,rcpts,sender,filter_score,linecount,sizeBytes,size,timeendpos,timestartpos,isPhish
0.141867,1.0,0.141867,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,23.0,0.0,0.0,20.0,100.0,100.0,7206.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5252.0,5252.0,5416.0,5385.0,2.0
0.163926,1.0,0.163926,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,19.0,0.0,0.0,20.0,100.0,100.0,7174.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5228.0,5228.0,5382.0,5351.0,2.0
0.146128,1.0,0.146128,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,36.0,0.0,0.0,20.0,100.0,100.0,7167.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5242.0,5242.0,5379.0,5348.0,2.0
0.16624,1.0,0.16624,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,97.0,0.0,0.0,20.0,100.0,100.0,7175.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5234.0,5234.0,5380.0,5349.0,2.0
0.166875,1.0,0.166875,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,94.0,0.0,0.0,20.0,100.0,100.0,7196.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5253.0,5253.0,2492.0,2461.0,2.0
0.196736,1.0,0.196736,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,34.0,0.0,0.0,20.0,100.0,100.0,7190.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5250.0,5250.0,968.0,937.0,2.0
0.125449,1.0,0.125449,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,55.0,0.0,0.0,20.0,100.0,100.0,7179.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5240.0,5240.0,2570.0,2539.0,2.0
0.149552,1.0,0.149552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,80.0,0.0,0.0,20.0,100.0,100.0,7181.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5237.0,5237.0,3242.0,3211.0,2.0
0.191989,1.0,0.191989,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,67.0,0.0,0.0,20.0,100.0,100.0,7213.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5269.0,5269.0,3299.0,3268.0,2.0
0.102366,1.0,0.102366,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,97.0,0.0,0.0,20.0,100.0,100.0,7286.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5340.0,5340.0,2938.0,2907.0,2.0
0.205988,1.0,0.205988,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,66.0,0.0,0.0,20.0,100.0,100.0,7226.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5281.0,5281.0,5475.0,5444.0,2.0
0.179781,1.0,0.179781,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,43.0,0.0,0.0,20.0,100.0,100.0,7196.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5257.0,5257.0,2763.0,2732.0,2.0
0.141595,1.0,0.141595,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,2.0,0.0,0.0,20.0,100.0,100.0,7219.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5281.0,5281.0,5453.0,5422.0,2.0
0.155516,1.0,0.155516,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,13.0,0.0,0.0,20.0,100.0,100.0,7215.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5265.0,5265.0,39.0,8.0,2.0
0.149038,1.0,0.149038,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,45.0,0.0,0.0,20.0,100.0,100.0,7206.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5266.0,5266.0,940.0,909.0,2.0
0.155505,1.0,0.155505,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,53.0,0.0,0.0,20.0,100.0,100.0,7215.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5273.0,5273.0,2709.0,2678.0,2.0
0.13622,1.0,0.13622,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,32.0,0.0,0.0,20.0,100.0,100.0,7195.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5250.0,5250.0,5276.0,5245.0,2.0
0.201354,1.0,0.201354,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,93.0,0.0,0.0,20.0,100.0,100.0,7199.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5254.0,5254.0,5073.0,5042.0,2.0
0.161144,1.0,0.161144,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,71.0,0.0,0.0,20.0,100.0,100.0,7191.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5246.0,5246.0,3843.0,3812.0,2.0
0.152038,1.0,0.152038,16.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,44.0,0.0,0.0,20.0,100.0,100.0,7182.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5238.0,5238.0,136.0,105.0,2.0
0.222385,1.0,0.222385,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,93.0,0.0,0.0,20.0,100.0,100.0,7220.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5276.0,5276.0,2181.0,2150.0,2.0
0.218063,1.0,0.218063,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-231.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8589.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6270.0,6270.0,39.0,8.0,2.0
0.200922,1.0,0.200922,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8534.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6249.0,6249.0,1457.0,1426.0,2.0
0.113331,1.0,0.113331,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,12.0,0.0,0.0,20.0,100.0,100.0,7161.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5221.0,5221.0,83.0,52.0,2.0
0.155928,1.0,0.155928,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,62.0,0.0,0.0,20.0,100.0,100.0,7200.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5247.0,5247.0,4524.0,4493.0,2.0
0.166305,27788.0,0.166305,49.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41185.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38858.0,38858.0,3723.0,3692.0,2.0
0.176525,1.0,0.176525,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,34.0,0.0,0.0,20.0,100.0,100.0,7188.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5244.0,5244.0,4615.0,4584.0,2.0
0.210191,1.0,0.210191,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,100.0,1.0,0.0,0.0,1.0,99.0,99.0,8534.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6265.0,6265.0,6662.0,6631.0,2.0
0.172748,1.0,0.172748,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8587.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6277.0,6277.0,3940.0,3909.0,2.0
0.14069,1.0,0.14069,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,41.0,0.0,0.0,20.0,100.0,100.0,7178.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5233.0,5233.0,2950.0,2919.0,2.0
0.183525,1.0,0.183525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100.0,29.0,0.0,0.0,20.0,100.0,100.0,8501.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6613.0,6613.0,4915.0,4884.0,2.0
0.187784,1.0,0.187784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,46.0,0.0,0.0,20.0,100.0,100.0,8444.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6555.0,6555.0,1851.0,1820.0,2.0
0.25629,1.0,0.25629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100.0,43.0,0.0,0.0,20.0,100.0,100.0,8333.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6428.0,6428.0,174.0,143.0,2.0
0.114557,986.0,0.114557,1.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,4931.0,986.0,986.0,0.0,0.0,0.0,100.0,1.0,3051.0,3051.0,2807.0,2776.0,2.0
